iter	RMSE
0	9.782272633
1	8.594345403
2	7.610322811
3	6.811642448
4	6.146441915
5	5.612193866
6	5.159072205
7	4.784049395
8	4.481492157
9	4.216085735
10	3.963171172
11	3.756004529
12	3.579946602
13	3.431542129
14	3.29477482
15	3.184207474
16	3.089739249
17	2.994682494
18	2.914741969
19	2.849757404
20	2.760180458
21	2.703217915
22	2.662797211
23	2.613680021
24	2.566173687
25	2.522451973
26	2.494119997
27	2.456755859
28	2.415529441
29	2.386572548
30	2.347270517
31	2.304935686
32	2.274291737
33	2.25261149
34	2.236920449
35	2.21523204
36	2.195444822
37	2.169388587
38	2.150064687
39	2.123091212
40	2.104999675
41	2.082014726
42	2.07000217
43	2.044150427
44	2.024482163
45	2.006334069
46	1.985805869
47	1.955334147
48	1.945571738
49	1.919739719
50	1.903077324
51	1.885835401
52	1.872153521
53	1.849474322
54	1.836828454
55	1.818813978
56	1.794708187
57	1.783671494
58	1.763054341
59	1.741730542
60	1.726473863
61	1.714334235
62	1.696601778
63	1.687325494
64	1.676906022
65	1.66185671
66	1.649361526
67	1.638098132
68	1.627576389
69	1.617701478
70	1.607032644
71	1.596173994
72	1.579444811
73	1.562524228
74	1.55573798
75	1.545247108
76	1.536980698
77	1.528134851
78	1.513843792
79	1.502977037
80	1.491110993
81	1.47914543
82	1.473221579
83	1.464660996
84	1.453180679
85	1.442753516
86	1.432699922
87	1.423017893
88	1.412784732
89	1.40658711
90	1.400802356
91	1.394429543
92	1.38658903
93	1.375958529
94	1.368913793
95	1.360676902
96	1.353937385
97	1.346415324
98	1.339845866
99	1.334594741
100	1.329110539
101	1.320123537
102	1.315396348
103	1.311769035
104	1.303847655
105	1.300777135
106	1.293686134
107	1.287752389
108	1.278548485
109	1.271161596
110	1.264743745
111	1.258621654
112	1.253835078
113	1.246327576
114	1.238397022
115	1.2331057
116	1.226650705
117	1.221024487
118	1.214595134
119	1.210636094
120	1.2026088
121	1.19630706
122	1.190300339
123	1.184048049
124	1.176994294
125	1.172326054
126	1.167639436
127	1.160269112
128	1.153686086
129	1.148568463
130	1.144852075
131	1.141232986
132	1.136179534
