iter	Passed	Remaining
0	12	10002
1	23	9548
2	34	9462
3	45	9393
4	57	9394
5	68	9273
6	79	9245
7	91	9310
8	102	9263
9	114	9323
10	126	9323
11	138	9335
12	148	9259
13	159	9185
14	170	9138
15	180	9094
16	192	9096
17	204	9127
18	215	9095
19	225	9040
20	236	8996
21	246	8970
22	258	8959
23	269	8960
24	281	8956
25	293	8978
26	306	9008
27	318	9032
28	331	9056
29	343	9060
30	356	9085
31	375	9248
32	387	9263
33	400	9265
34	411	9246
35	424	9248
36	436	9258
37	447	9229
38	459	9214
39	470	9195
40	481	9163
41	492	9141
42	502	9099
43	514	9082
44	525	9056
45	535	9026
46	546	8997
47	557	8985
48	569	8971
49	580	8953
50	592	8940
51	603	8925
52	615	8914
53	626	8896
54	637	8878
55	647	8851
56	660	8846
57	671	8829
58	682	8815
59	693	8794
60	704	8781
61	718	8790
62	728	8769
63	741	8770
64	754	8772
65	764	8748
66	775	8728
67	786	8712
68	798	8699
69	809	8683
70	821	8678
71	832	8657
72	844	8653
73	855	8633
74	866	8621
75	877	8602
76	889	8589
77	901	8585
78	918	8624
79	930	8622
80	942	8613
81	954	8602
82	966	8595
83	978	8585
84	994	8614
85	1009	8627
86	1024	8646
87	1038	8651
88	1050	8637
89	1061	8624
90	1078	8649
91	1090	8641
92	1101	8621
93	1113	8608
94	1124	8590
95	1135	8572
96	1149	8580
97	1160	8559
98	1172	8553
99	1183	8530
100	1194	8518
101	1205	8498
102	1217	8484
103	1228	8466
104	1237	8441
105	1248	8420
106	1259	8402
107	1270	8390
108	1281	8372
109	1292	8354
110	1303	8336
111	1315	8326
112	1325	8305
113	1338	8300
114	1350	8291
115	1362	8277
116	1373	8263
117	1384	8247
118	1398	8249
119	1410	8238
120	1424	8240
121	1435	8226
122	1447	8215
123	1459	8204
124	1471	8193
125	1483	8181
126	1494	8167
127	1505	8153
128	1517	8138
129	1528	8122
130	1539	8107
131	1550	8095
132	1562	8083
133	1573	8066
134	1585	8056
135	1598	8049
136	1608	8032
137	1620	8019
138	1631	8007
139	1643	7996
140	1655	7981
141	1665	7964
142	1678	7956
143	1689	7943
144	1701	7933
145	1713	7920
146	1723	7903
147	1734	7888
148	1745	7871
149	1755	7854
150	1767	7840
151	1792	7889
152	1805	7884
153	1816	7868
154	1827	7854
155	1839	7840
156	1850	7827
157	1861	7813
158	1873	7801
159	1885	7789
160	1897	7777
161	1909	7766
162	1919	7749
163	1930	7734
164	1943	7726
165	1955	7716
166	1967	7706
167	1980	7698
168	1991	7685
169	2003	7670
170	2013	7654
171	2024	7639
172	2036	7629
173	2047	7613
174	2058	7600
175	2069	7585
176	2080	7568
177	2092	7557
178	2107	7557
179	2117	7542
180	2128	7527
181	2141	7517
182	2155	7513
183	2166	7499
184	2177	7485
